Train MSE (Top 20 DE),Validation MSE (Top 20 DE)
0.14101866,0.1698095
0.2277075,0.2623286
0.22829016,0.26250833
0.12593056,0.16925012
0.12744597,0.17519625
0.13036148,0.18006471
0.11721657,0.1629936
0.12238955,0.17019825
0.123041,0.17131306
0.119149856,0.16693722
0.12135257,0.16925316
0.118749075,0.16622312
0.12052099,0.16840002
0.123404674,0.17011288
0.120414846,0.1688101
0.120424815,0.16685118
0.11949982,0.16671135
0.12082775,0.16938214
0.12311132,0.17173816
0.11664576,0.16318335
