AHR+FEV,AHR+ctrl,ATL1+ctrl,BAK1+ctrl,C19orf26+ctrl,CEBPA+ctrl,CEBPE+CEBPA,CEBPE+CNN1,CEBPE+KLF1,CEBPE+ctrl,CITED1+ctrl,CNN1+ctrl,CNNM4+ctrl,CSRNP1+ctrl,DLX2+ctrl,ELMSAN1+ctrl,FEV+ctrl,FOSB+CEBPE,FOSB+OSR2,FOSB+ctrl,FOXA1+FOXF1,FOXA1+ctrl,FOXA3+FOXA1,FOXA3+ctrl,FOXF1+HOXB9,FOXF1+ctrl,FOXO4+ctrl,GLB1L2+ctrl,HES7+ctrl,HK2+ctrl,HNF4A+ctrl,HOXA13+ctrl,HOXB9+ctrl,HOXC13+ctrl,IER5L+ctrl,IGDCC3+ctrl,IKZF3+ctrl,IRF1+ctrl,JUN+CEBPA,JUN+ctrl,KIAA1804+ctrl,KIF18B+ctrl,KLF1+BAK1,KLF1+CEBPA,KLF1+FOXA1,KLF1+MAP2K6,KLF1+TGFBR2,KLF1+ctrl,KMT2A+ctrl,LHX1+ELMSAN1,LHX1+ctrl,LYL1+ctrl,MAML2+ctrl,MAP2K3+ELMSAN1,MAP2K3+IKZF3,MAP2K3+MAP2K6,MAP2K3+SLC38A2,MAP2K3+ctrl,MAP2K6+ELMSAN1,MAP2K6+IKZF3,MAP2K6+ctrl,MAP4K3+ctrl,MAP4K5+ctrl,MAPK1+IKZF3,MAPK1+TGFBR2,MAPK1+ctrl,MEIS1+ctrl,MIDN+ctrl,NIT1+ctrl,OSR2+ctrl,PRDM1+ctrl,PRTG+ctrl,PTPN13+ctrl,PTPN9+ctrl,RREB1+ctrl,RUNX1T1+ctrl,S1PR2+ctrl,SAMD1+TGFBR2,SAMD1+UBASH3B,SAMD1+ctrl,SGK1+S1PR2,SGK1+TBX2,SGK1+TBX3,SGK1+ctrl,SLC38A2+ctrl,SLC4A1+ctrl,SLC6A9+ctrl,STIL+ctrl,TBX2+ctrl,TBX3+ctrl,TGFBR2+C19orf26,TGFBR2+IGDCC3,TGFBR2+PRTG,TGFBR2+ctrl,TMSB4X+BAK1,TMSB4X+ctrl,TP73+ctrl,TSC22D1+ctrl,UBASH3B+OSR2,UBASH3B+ZBTB25,UBASH3B+ctrl,ZBTB1+ctrl,ZBTB25+ctrl,ZC3HAV1+CEBPA,ZC3HAV1+ctrl,ZNF318+ctrl,ctrl
0.0032939475,0.0010446426,0.0013013851,0.0007658118,0.0006715427,0.0036974112,0.004661308,0.002118636,0.002437435,0.0017401357,0.0012529647,0.0008869859,0.0008573188,0.0011632286,0.0010401624,0.00096703245,0.0019666406,0.0030470348,0.001656831,0.0010695199,0.0014530573,0.00086665526,0.002103918,0.0011109182,0.0014464273,0.00077821943,0.001396631,0.0007778884,0.002275317,0.0012084543,0.0015024956,0.0016533657,0.0006842662,0.001182728,0.00074388017,0.0010617577,0.0018860409,0.0015845636,0.005762736,0.0010957654,0.00074267824,0.00070098863,0.0012090221,0.0029095223,0.0013637984,0.0014279425,0.0011123834,0.001180728,0.0007323351,0.00084339746,0.00088455586,0.0006746387,0.001026134,0.0018734782,0.0018864805,0.0013118089,0.0017384845,0.0014041138,0.0015445302,0.0019424037,0.001170584,0.0007581348,0.0009373421,0.0016908409,0.00095095433,0.0011518539,0.0006531683,0.0009852366,0.0018533627,0.0009588333,0.001769982,0.0010600153,0.0008049501,0.0006666285,0.0010198039,0.00069393887,0.0010539143,0.0019762155,0.0016703076,0.0010969081,0.0018862138,0.0017525852,0.0018782764,0.001020846,0.0011232866,0.001259079,0.0007389969,0.00077807775,0.0010081244,0.0011121294,0.000905871,0.0013466962,0.0013247275,0.0007503801,0.0008248453,0.0007672306,0.0025544837,0.00089519547,0.00075454,0.0013889159,0.0005603896,0.00103433,0.0008815447,0.0037223191,0.001136535,0.0007312862,0.0008561464
0.0027201015,0.0009174907,0.001248948,0.00068074086,0.000896911,0.0033013541,0.0032088305,0.0013591832,0.0014206131,0.001317773,0.0010093619,0.0009827276,0.0011227424,0.001062895,0.00086017884,0.00075203145,0.0016570777,0.002363829,0.0018099302,0.0009975155,0.0013667597,0.0009364692,0.0017440545,0.0008227501,0.001482015,0.0007638817,0.0013546312,0.00076154404,0.0021442417,0.00084355706,0.001564479,0.0016006706,0.00085564936,0.0010836986,0.00065553637,0.0010044506,0.0019092022,0.0015959627,0.005184039,0.0011394253,0.00051772763,0.0008430408,0.0011153093,0.0023492314,0.00132658,0.0013137454,0.0010913004,0.0010676091,0.0008369608,0.000837934,0.00093481987,0.0007787447,0.00091125985,0.0016465038,0.0019920655,0.0012267756,0.001680828,0.001295594,0.0012896934,0.001959157,0.0010489486,0.0007620172,0.0006657607,0.0018943672,0.0009658498,0.0010895994,0.0008787855,0.0011062872,0.0019679824,0.0010837491,0.0017115932,0.00096116547,0.0008795474,0.00082977937,0.00091667095,0.0006830394,0.0009124685,0.0018517764,0.001863724,0.0010394,0.0014804449,0.0014452717,0.0016412502,0.000915198,0.0010266653,0.0011106626,0.000752356,0.0008462956,0.00095314597,0.0012896433,0.0010280996,0.0011991614,0.0011615546,0.00072371063,0.0009878655,0.00090565387,0.002416897,0.0008397634,0.0013810436,0.0017538668,0.00080982613,0.0011173013,0.0010387691,0.0031114887,0.0009580951,0.0005547789,0.0005270345
0.0022015446,0.00054404733,0.00095142156,0.000511818,0.00045706437,0.003559568,0.003147615,0.00095017435,0.0009939043,0.0012600558,0.000869352,0.00068493583,0.0004945078,0.0006404369,0.00065246975,0.00057740544,0.0012407287,0.002342533,0.0014193344,0.0006752245,0.0008348743,0.0005056867,0.0012451524,0.0005902363,0.0010936741,0.00031909999,0.0011159284,0.0004887677,0.002037485,0.0005586532,0.0013315683,0.001359587,0.00046247453,0.0009021446,0.0005264433,0.0006942398,0.0012338526,0.0012797725,0.0053908047,0.0008809238,0.00039887935,0.00050571514,0.00082331314,0.002220042,0.0008268443,0.0008939569,0.0007693565,0.0007696162,0.0005387928,0.00069102604,0.0007869181,0.00040562687,0.00062950124,0.001239471,0.0011775582,0.00071454636,0.0010190783,0.00078359613,0.00091319246,0.0011584775,0.0005807401,0.00039000963,0.0003740855,0.0011357898,0.0007262484,0.0009504121,0.00045412572,0.0008256568,0.0016438944,0.000742206,0.0012584061,0.0007207559,0.0007075992,0.00061536836,0.0006661646,0.0004404343,0.0006828709,0.0013591219,0.0012388217,0.00063371833,0.0011308875,0.0010864466,0.0010352033,0.0006840603,0.0005977818,0.0008545838,0.00052678783,0.00045702615,0.0007256841,0.0009757057,0.000622145,0.000797981,0.00086342904,0.0004933733,0.00059497973,0.00050939614,0.0022150415,0.00043343584,0.00065522554,0.0011630555,0.00046337774,0.00071834197,0.000611065,0.003028473,0.00063977344,0.00049950444,0.00037463018
0.0026697987,0.0004346181,0.0010663427,0.00021393193,0.00022216595,0.0045984723,0.00409699,0.00088366715,0.00050779403,0.0014679957,0.0008256234,0.0004874923,0.00035350828,0.00041950648,0.0004935024,0.00036730932,0.0010089579,0.0029684159,0.0014111379,0.00038349844,0.00094050483,0.00027951287,0.0014645525,0.00043803809,0.0012878766,0.0002062928,0.0010383689,0.00032037427,0.002375494,0.00034120187,0.0013684765,0.0018622142,0.000391393,0.0010759084,0.00059995905,0.0005416439,0.001659563,0.0010426495,0.0064817797,0.00075810554,0.0002965853,0.0003040337,0.00063391967,0.0027813122,0.0007200439,0.0008086533,0.0006234654,0.00061415904,0.0003338279,0.0005838382,0.0005702055,0.00027903815,0.00037522765,0.0011215656,0.0012196633,0.0006113686,0.0008994203,0.00067166204,0.000807967,0.00130188,0.00048593213,0.00023973534,0.0002467647,0.0014037071,0.00062608294,0.0009073131,0.00018925799,0.0008763165,0.0016660597,0.00059938704,0.0014641563,0.00055337127,0.00046088707,0.0003345785,0.0004304416,0.00020569215,0.00048801984,0.0013390132,0.0015339478,0.0005182608,0.0014216887,0.0011611609,0.0010389147,0.00065918715,0.00045651788,0.0007194393,0.00032489546,0.00030321072,0.00055298663,0.0005554288,0.00058675034,0.0006142332,0.00071309635,0.00020983361,0.00039452504,0.0003278988,0.0030858307,0.0002594967,0.00029739735,0.0012220504,0.00022368401,0.00050742476,0.0003029932,0.0036478173,0.00044469998,0.00021337759,0.00013306725
0.0027367815,0.00045345936,0.0011419242,0.00017562692,0.00021210356,0.004740988,0.0042320504,0.000939799,0.00047810387,0.0015353883,0.0008822675,0.00049827993,0.0003435152,0.0003739552,0.0005111741,0.00031971195,0.0009981126,0.003069134,0.001427204,0.00037175455,0.0009946552,0.00029018175,0.0015521201,0.00047220394,0.0013590686,0.00019848839,0.0010978456,0.00033393886,0.002473554,0.0003413433,0.0014521363,0.0019711258,0.00041677023,0.0011507461,0.000649006,0.0005726864,0.0017485045,0.0010495568,0.0066239983,0.00078907126,0.0002983567,0.0003042708,0.0005925864,0.00286943,0.00072798476,0.0007571358,0.0005987432,0.00057081535,0.00032849534,0.00059217034,0.00056932436,0.00027223906,0.0003246031,0.0010393598,0.0012752227,0.0005419654,0.0008103997,0.00059889536,0.00073144626,0.0013607128,0.00042390818,0.00022325043,0.00024575795,0.0014638158,0.00061812205,0.0009093238,0.00018336393,0.0009308617,0.0017222087,0.0005847176,0.0015389118,0.000577699,0.0004721356,0.00034376018,0.00045560655,0.00018333379,0.00051286985,0.0014020634,0.0016315884,0.0005647933,0.0015146674,0.0012247018,0.0011135441,0.0007090648,0.0003998625,0.00072210084,0.00032168743,0.0003121806,0.0005620848,0.00058467797,0.0006177861,0.00063273765,0.00073930575,0.00018614861,0.00038468928,0.00031091174,0.0032326167,0.00025197084,0.00027382656,0.0012927606,0.00023082427,0.00053214555,0.0003110433,0.003740638,0.00040437357,0.00020246071,0.000101792655
0.0027440148,0.00044768958,0.0011218288,0.00016889133,0.0001963599,0.0047490285,0.004233541,0.0009254642,0.00048515416,0.001535928,0.0008725154,0.00048288118,0.0003370871,0.00036760163,0.00049861544,0.0003172034,0.001002673,0.0030738441,0.001433057,0.00036922796,0.0009856557,0.00027842607,0.0015395359,0.0004620143,0.0013491425,0.0001872992,0.0010863158,0.00031611667,0.0024617645,0.00032496089,0.0014282999,0.0019590093,0.00040669114,0.0011336164,0.0006375246,0.00056020636,0.0017465672,0.0010453644,0.006633869,0.00078049477,0.0002891405,0.0002894968,0.0005955299,0.0028853887,0.0007227144,0.00076496013,0.00059658743,0.00057273416,0.00031974865,0.00059239,0.00056914234,0.00026193645,0.0003163471,0.0010519633,0.0012765939,0.0005470568,0.0008169889,0.0006017009,0.00074184575,0.0013570826,0.00042203837,0.00020960165,0.0002326996,0.0014715269,0.00062153273,0.00091479527,0.00017036454,0.00092474406,0.0017265921,0.0005839163,0.0015238746,0.0005662081,0.00046281566,0.0003354804,0.0004406619,0.00017328831,0.0004987517,0.001381882,0.001621995,0.00055391534,0.0014986442,0.0012140388,0.0011034432,0.0006929712,0.00039743542,0.0007154512,0.00031388624,0.0003082225,0.00055380305,0.00057586585,0.0006041842,0.0006253022,0.00072986196,0.00017500516,0.00037643578,0.00030524159,0.0032310237,0.00024065828,0.00027107744,0.0012797843,0.0002175763,0.00053069805,0.00029672423,0.003746157,0.00039292383,0.00019508594,9.283687e-05
0.0027165601,0.00045027529,0.0011241966,0.00018405938,0.0002100811,0.004678522,0.004169824,0.000911477,0.0004776573,0.0015046999,0.0008627486,0.00049175904,0.0003415913,0.00038020132,0.0005035895,0.00032765837,0.0009963043,0.0030221234,0.0014084592,0.00036665273,0.0009809225,0.00028506666,0.0015309392,0.0004612606,0.0013417262,0.00019912478,0.0010817761,0.00032432773,0.002427321,0.00033407132,0.0014235168,0.0019374181,0.00040794114,0.0011219893,0.0006342457,0.0005653842,0.0017216871,0.0010479371,0.0065557226,0.0007845889,0.00029482256,0.0003005978,0.0006002314,0.0028275577,0.00072113995,0.0007671204,0.00060189987,0.0005764699,0.0003234407,0.0005822627,0.0005641579,0.00027185123,0.00033332637,0.001059086,0.0012541345,0.0005585547,0.0008318705,0.00061665935,0.0007492512,0.0013411148,0.00043881644,0.0002254198,0.00024347211,0.0014499481,0.00061999605,0.0009079532,0.00017710192,0.0009150609,0.0017032704,0.0005802339,0.0015156353,0.0005719481,0.00046393552,0.00034106997,0.00044135694,0.00018755213,0.00050004636,0.0013797497,0.0016048312,0.00054402224,0.0014854608,0.0012127091,0.0010884702,0.0006922937,0.0004131963,0.0007187036,0.00031361353,0.00030426565,0.0005600919,0.00057054125,0.0006099148,0.0006321044,0.0007341491,0.00018962988,0.0003800809,0.00030835363,0.0032032407,0.00025104155,0.00027374123,0.0012716057,0.00022596789,0.000522916,0.00030492694,0.0036857685,0.0004092896,0.00020400238,0.00010607025
0.0027741136,0.00045285394,0.0011160738,0.00017142379,0.00020563621,0.004751751,0.004238665,0.000922607,0.0004849618,0.0015368738,0.0008743075,0.00047865542,0.000340063,0.0003671805,0.0004975345,0.00031537737,0.0010168421,0.003082774,0.0014458523,0.00037538022,0.0009893134,0.00027934153,0.0015399838,0.00046071314,0.0013564982,0.00018729272,0.0010710072,0.00031337596,0.0024703979,0.00033141134,0.0014140395,0.0019695766,0.0004156997,0.0011399721,0.0006353314,0.0005504011,0.0017429315,0.0010293258,0.0066382596,0.0007812673,0.0002905062,0.00029593974,0.0005959583,0.0028834706,0.0007354427,0.0007661197,0.0005997765,0.00057564955,0.00032550123,0.0005883642,0.0005754242,0.00026544515,0.0003222784,0.0010495738,0.0012655973,0.00055241096,0.00082655315,0.0006077105,0.0007429476,0.0013553054,0.00042746792,0.00021561379,0.00023251346,0.0014713461,0.00062434986,0.00091643207,0.00017834312,0.0009321286,0.0017061107,0.0005973413,0.0015254639,0.00056133047,0.0004698139,0.00032704938,0.00043123198,0.00017865917,0.00049524533,0.0013828342,0.0016055658,0.00054950995,0.0014899978,0.0012056376,0.0010769867,0.00068488123,0.00040572856,0.00072031654,0.00031507364,0.0003078459,0.0005509406,0.0005558455,0.0006071341,0.0006202169,0.0007269961,0.00017650233,0.00037395506,0.00030432123,0.0032247251,0.00024279449,0.000277431,0.001262961,0.00021302255,0.00053007214,0.0002924562,0.003747992,0.00039559446,0.0001950916,9.674699e-05
0.0026967195,0.000437469,0.0011045526,0.00019340993,0.00021284983,0.0046019866,0.0041029304,0.0008962106,0.0004952859,0.0014698188,0.0008387083,0.00049640477,0.0003477007,0.0004026182,0.0004950177,0.0003498646,0.0010057387,0.0029691788,0.0013905067,0.00036765123,0.00094353367,0.00027697417,0.0014811457,0.0004408835,0.0012941206,0.00019467185,0.0010582984,0.00031955788,0.0023810107,0.00033749017,0.0013952523,0.0018929426,0.0003891975,0.0010964783,0.00062052626,0.00055850775,0.001706928,0.0010467666,0.0064818044,0.0007714371,0.0002920113,0.00030212462,0.0006289906,0.002787417,0.0007210472,0.00080254476,0.00062824035,0.00060991675,0.0003297293,0.0005760902,0.0005593182,0.00027379315,0.0003525169,0.0010892502,0.0012589248,0.000581457,0.0008597994,0.00064090826,0.0007743812,0.0013403525,0.00045745992,0.00023226989,0.00024225056,0.0014305935,0.0006117216,0.0008918175,0.0001803047,0.00088336435,0.0016805005,0.0005768648,0.0014924331,0.00056930183,0.00045540408,0.00034106322,0.00043910518,0.00019043022,0.0005023265,0.0013670562,0.0015828576,0.0005316666,0.0014609825,0.0011855483,0.0010660638,0.00067730475,0.00042725832,0.00071963255,0.00031826535,0.00030325374,0.0005518217,0.00056318997,0.0006007077,0.0006245127,0.00072995026,0.00020173703,0.00038310114,0.00031323417,0.0031424374,0.0002506324,0.00027934392,0.0012613847,0.00022866891,0.00052328693,0.00031024573,0.0036389863,0.00042679894,0.00021097444,0.00011673928
0.002728695,0.0004432638,0.0011063515,0.00018114997,0.00020523077,0.00469487,0.0041833674,0.0009063445,0.00048613778,0.0015109357,0.00086109043,0.0004779001,0.00034039014,0.00038352952,0.0004981078,0.00033011395,0.0010007294,0.0030381721,0.001428895,0.00037600668,0.0009739068,0.00027855192,0.001517698,0.00045347956,0.001332218,0.00019246702,0.0010665266,0.0003222562,0.002436195,0.00033012967,0.0014112737,0.0019339652,0.00040482866,0.0011195522,0.00062308833,0.0005537741,0.0017133555,0.0010374145,0.0065804254,0.0007807076,0.000290891,0.00029863024,0.00060549076,0.0028475728,0.00072752126,0.00077341264,0.000601582,0.0005816952,0.0003216886,0.00058571144,0.00056574185,0.0002677882,0.0003339849,0.0010678978,0.001252278,0.0005627908,0.00084026,0.0006201605,0.00075837196,0.001336015,0.00044099413,0.00021786697,0.00023570338,0.00144323,0.0006241351,0.0009138422,0.00017613269,0.0009155861,0.0017015955,0.0005901208,0.0015022913,0.0005620919,0.00046318173,0.00033409716,0.00043522514,0.0001839059,0.0004977447,0.0013753752,0.0015937644,0.0005431024,0.0014830435,0.0012001242,0.0010742487,0.0006819806,0.00041234063,0.000718814,0.00031399308,0.0003069558,0.00055610976,0.0005636899,0.00060350995,0.00062105805,0.0007276549,0.0001853179,0.00037603482,0.0003050292,0.003187847,0.0002473217,0.00027931496,0.0012577211,0.00021860332,0.0005216866,0.00029733733,0.0037123326,0.00041146082,0.00020148461,0.000104829305
