Train MSE (Top 20 DE),Validation MSE (Top 20 DE)
0.117244944,0.48797894
0.11933882,0.3414889
0.10202236,0.41612536
0.10933567,0.3827647
0.09840066,0.3960146
0.09299988,0.4185311
0.094651856,0.38931426
0.08739052,0.39651674
0.09643773,0.3763145
0.08997222,0.38427925
